Source Account,Tweet,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,Typhoon Mangkhut: Philippines braced for 'strongest storm of 2018' https://t.co/ZUTuRpVFjk,Fri Sep 14 17:00:33 +0000 2018,0.4404,0.244,0.756,0.0,75
@BBCWorld,Canada cannabis entrepreneurs 'could face US lifetime ban' https://t.co/X2OmJhq3lj,Fri Sep 14 16:39:50 +0000 2018,-0.5574,0.0,0.69,0.31,76
@BBCWorld,Botham Shem Jean: Police 'trying to smear' shooting victim https://t.co/BJgMA2lFVK,Fri Sep 14 16:28:20 +0000 2018,-0.5574,0.0,0.635,0.365,77
@BBCWorld,"Follow #HurricaneFlorence live updates here: 

https://t.co/3ZJ1Ahvqmm https://t.co/VFJof95HCq",Fri Sep 14 16:27:22 +0000 2018,0.0,0.0,1.0,0.0,78
@BBCWorld,Dragons' Den judge Gavin Duffy to stand for Irish president https://t.co/O408B4LO35,Fri Sep 14 16:12:03 +0000 2018,0.0,0.0,1.0,0.0,79
@BBCWorld,"RT @BBCBreaking: Trump's former campaign manager Paul Manafort agrees to co-operate with Mueller probe, prosecutor says https://t.co/o8Vmfn…",Fri Sep 14 15:42:15 +0000 2018,0.2023,0.101,0.899,0.0,80
@BBCWorld,"Strawberries ""interfered with"" in Australia 🍓

https://t.co/nLBRZ80edF",Fri Sep 14 15:37:51 +0000 2018,0.0,0.0,1.0,0.0,81
@BBCWorld,RT @BBCJonSopel: Major breaking news: #PaulManafort has entered into a cooperation agreement with the US Justice Department in return for a…,Fri Sep 14 15:35:24 +0000 2018,0.765,0.268,0.732,0.0,82
@BBCWorld,"Follow the latest developments as #HurricaneFlorence hits the US east coast

https://t.co/9eweIfDnYi https://t.co/6maab7hzex",Fri Sep 14 15:02:39 +0000 2018,0.0,0.0,1.0,0.0,83
@BBCWorld,Skripal case: Russian 'spies' targeted Swiss chemical weapons lab https://t.co/vcby5HzKVQ,Fri Sep 14 14:45:47 +0000 2018,-0.4404,0.0,0.756,0.244,84
@BBCWorld,"#HurricaneFlorence has made landfall in North Carolina

This is why it's such a serious threat to life:… https://t.co/dAnyVLyQhy",Fri Sep 14 14:36:27 +0000 2018,-0.5719,0.0,0.761,0.239,85
@BBCWorld,"We're going to be without power for ""possibly ten days"" - mayor of Wilmington, Bill Saffo outlines how his communit… https://t.co/y91uJgRVDI",Fri Sep 14 14:30:36 +0000 2018,0.0,0.0,1.0,0.0,86
@BBCWorld,Trump ex-campaign chief Manafort 'strikes plea deal' https://t.co/TgZd7qtIXh,Fri Sep 14 14:27:18 +0000 2018,-0.3612,0.0,0.737,0.263,87
@BBCWorld,North Korea claims NHS and Sony hack suspect 'doesn't exist' https://t.co/DPztOd5nwb,Fri Sep 14 14:27:09 +0000 2018,-0.296,0.0,0.82,0.18,88
@BBCWorld,"""This is only the beginning"" – officials give update on #HurricaneFlorence, saying it's a very slow-moving storm

L… https://t.co/eJiaAYM1JS",Fri Sep 14 13:33:43 +0000 2018,0.0,0.0,1.0,0.0,89
@BBCWorld,North and South Korea set up liaison office to 'talk 24/7' https://t.co/QpcfASL1WQ,Fri Sep 14 13:31:10 +0000 2018,0.0,0.0,1.0,0.0,90
@BBCWorld,"""This is what a category one hurricane looks like"" – @LauraTrevelyan is in Wilmington, North Carolina as… https://t.co/DxOtfEyERG",Fri Sep 14 13:19:08 +0000 2018,0.3612,0.143,0.857,0.0,91
@BBCWorld,Strawberry needle scare: Contamination affects six brands in Australia https://t.co/82oqv2heXG,Fri Sep 14 13:09:48 +0000 2018,-0.4939,0.0,0.738,0.262,92
@BBCWorld,"RT @BBCSport: Formula 1 has revealed a new car design to be introduced in 2021.

https://t.co/vYqfbt94Yw https://t.co/uonwsH9mdp",Fri Sep 14 12:37:05 +0000 2018,0.0,0.0,1.0,0.0,93
@BBCWorld,Zimbabwe launches cholera crowdfunding campaign https://t.co/m5EU5uF6cv,Fri Sep 14 12:17:05 +0000 2018,0.0,0.0,1.0,0.0,94
@BBCWorld,Tintin and the vanishing murals: Brussels races to save art https://t.co/lIRCv7n6lU,Fri Sep 14 12:07:05 +0000 2018,0.4939,0.242,0.758,0.0,95
@BBCWorld,Dalai Lama to meet alleged Dutch abuse victims https://t.co/Q55V6oVXiT,Fri Sep 14 11:56:45 +0000 2018,-0.7579,0.0,0.519,0.481,96
@BBCWorld,"RT @BBCBreaking: #HurricaneFlorence latest

• Centre of hurricane eye makes landfall
• More than 300,000 people without power 
• Evacuation…",Fri Sep 14 11:49:11 +0000 2018,0.0,0.0,1.0,0.0,97
@BBCWorld,"""It is ferocious out here"" 

The BBC's @LauraTrevelyan reports as #HurricaneFlorence hits North Carolina

Latest up… https://t.co/4CoxXdOZJZ",Fri Sep 14 11:16:54 +0000 2018,-0.1027,0.0,0.92,0.08,98
@BBCWorld,"Uranus Examiner: Local newspaper stirs controversy 👀

https://t.co/fVOilAdGZI",Fri Sep 14 10:54:27 +0000 2018,0.0,0.0,1.0,0.0,99
@BBCWorld,"RT @BBCNews: ""Your question to me seems like typical Western propaganda""

RT editor hangs up on @BBCNewsnight 

https://t.co/ikYzUYmHXw htt…",Fri Sep 14 09:54:04 +0000 2018,0.128,0.116,0.791,0.093,100
@CBSNews,"Grieving mom who was an activist against MS-13, and recognized by President Trump, is struck and killed at her daug… https://t.co/tc3H29Ovpf",Sat Sep 15 15:39:46 +0000 2018,-0.8689,0.0,0.647,0.353,1
@CBSNews,Ted Cruz and Beto O'Rourke will hold three debates in their tight race for a Texas Senate seat… https://t.co/THWNgP2nbq,Sat Sep 15 15:19:31 +0000 2018,0.0,0.0,1.0,0.0,2
@CBSNews,North Carolina Gov. Roy Cooper says five deaths have been confirmed from Florence and others are being investigated… https://t.co/LeJUsKkTbW,Sat Sep 15 15:07:34 +0000 2018,0.0,0.0,1.0,0.0,3
@CBSNews,"Florence by the numbers: More than 19,000 people in shelters. Up to $60 billion in damages. 18 trillion gallons of… https://t.co/RK2lZhwE9w",Sat Sep 15 14:59:36 +0000 2018,-0.4404,0.0,0.873,0.127,4
@CBSNews,"Deers run by in the background, up to their necks in water, as CBS News correspondent @adrianasdiaz covers Florence… https://t.co/79KSRoRG7O",Sat Sep 15 14:57:22 +0000 2018,0.0,0.0,1.0,0.0,5
@CBSNews,"President Trump will rally next week in Missouri for Republican Josh Hawley, who wants to unseat Democratic Sen. Cl… https://t.co/itG6FQc18s",Sat Sep 15 14:39:54 +0000 2018,0.0,0.0,1.0,0.0,6
@CBSNews,How does the U.S. housing market look a decade after the financial crash? https://t.co/byg2tZ2KYh https://t.co/Pq5lrktIBY,Sat Sep 15 14:19:50 +0000 2018,-0.4019,0.0,0.828,0.172,7
@CBSNews,Final Delta 2 rocket launches $1 billion ice probe https://t.co/Kywo0Cji1H https://t.co/dXakRQpKuC,Sat Sep 15 14:00:01 +0000 2018,0.0,0.0,1.0,0.0,8
@CBSNews,"While giving updates on Hurricane Florence, FEMA officials won't say if agency chief Brock Long will remain on the… https://t.co/Kk1tp5v3Jq",Sat Sep 15 13:51:10 +0000 2018,0.34,0.112,0.888,0.0,9
@CBSNews,"President Trump issues disaster declaration for North Carolina, making federal money available to counties hit by H… https://t.co/WYMSU8R3mf",Sat Sep 15 13:39:40 +0000 2018,-0.6249,0.0,0.806,0.194,10
@CBSNews,North &amp; South Carolina hit by Florence https://t.co/oEx1OdeW7M https://t.co/Nahs27Mq89,Sat Sep 15 13:03:04 +0000 2018,0.0,0.0,1.0,0.0,11
@CBSNews,Nike stock price reaches all-time high after Colin Kaepernick ad https://t.co/QfXyrBfTIn https://t.co/nMJYqHA4jp,Sat Sep 15 12:48:03 +0000 2018,0.0516,0.098,0.902,0.0,12
@CBSNews,VW to stop making the iconic Beetle in 2019 https://t.co/BrUFsOZLGk https://t.co/6VRteDbbPn,Sat Sep 15 12:33:03 +0000 2018,-0.296,0.0,0.82,0.18,13
@CBSNews,Video shows Dallas Officer Amber Guyger getting booked after killing neighbor https://t.co/4YBhhBOgmE https://t.co/B7S9bRd3B6,Sat Sep 15 12:18:04 +0000 2018,-0.6597,0.0,0.732,0.268,14
@CBSNews,Utah wildfire fanned by high winds more than doubles in size and forces evacuations https://t.co/VrRSOe3mQE https://t.co/DSMMWe03aK,Sat Sep 15 12:03:03 +0000 2018,0.0,0.0,1.0,0.0,15
@CBSNews,Hurricane Florence relief: Budweiser cans water instead of beer https://t.co/9QCNJer6Dr https://t.co/ku5QuJWxhu,Sat Sep 15 11:48:03 +0000 2018,0.4767,0.237,0.763,0.0,16
@CBSNews,Massachusetts' governor declared a state of emergency after gas explosions https://t.co/Vru0nR9qpr https://t.co/h6j9xiOOKV,Sat Sep 15 11:33:03 +0000 2018,-0.3818,0.0,0.794,0.206,17
@CBSNews,Victim's family speaks out after fire exposes wealthy man's secret underground tunnels https://t.co/2KrEQ17eAb https://t.co/ALn9jvGdlN,Sat Sep 15 11:18:04 +0000 2018,-0.1027,0.144,0.632,0.224,18
@CBSNews,Florence slams North and South Carolina -- live updates https://t.co/aJRWISqsAH https://t.co/BogBWCI2Il,Sat Sep 15 11:03:05 +0000 2018,0.0,0.0,1.0,0.0,19
@CBSNews,All the live Hurricane Florence webcams in one place: https://t.co/dgi6Uh5Tmh https://t.co/anF5gFJBTi,Sat Sep 15 10:48:03 +0000 2018,0.0,0.0,1.0,0.0,20
@CBSNews,"Grieving mom who was an activist against MS-13, and recognized by President Trump, is struck and killed at her daug… https://t.co/tc3H29Ovpf",Sat Sep 15 15:39:46 +0000 2018,-0.8689,0.0,0.647,0.353,21
@CBSNews,Ted Cruz and Beto O'Rourke will hold three debates in their tight race for a Texas Senate seat… https://t.co/THWNgP2nbq,Sat Sep 15 15:19:31 +0000 2018,0.0,0.0,1.0,0.0,22
@CBSNews,North Carolina Gov. Roy Cooper says five deaths have been confirmed from Florence and others are being investigated… https://t.co/LeJUsKkTbW,Sat Sep 15 15:07:34 +0000 2018,0.0,0.0,1.0,0.0,23
@CBSNews,"Florence by the numbers: More than 19,000 people in shelters. Up to $60 billion in damages. 18 trillion gallons of… https://t.co/RK2lZhwE9w",Sat Sep 15 14:59:36 +0000 2018,-0.4404,0.0,0.873,0.127,24
@CBSNews,"Deers run by in the background, up to their necks in water, as CBS News correspondent @adrianasdiaz covers Florence… https://t.co/79KSRoRG7O",Sat Sep 15 14:57:22 +0000 2018,0.0,0.0,1.0,0.0,25
@CBSNews,"President Trump will rally next week in Missouri for Republican Josh Hawley, who wants to unseat Democratic Sen. Cl… https://t.co/itG6FQc18s",Sat Sep 15 14:39:54 +0000 2018,0.0,0.0,1.0,0.0,26
@CBSNews,How does the U.S. housing market look a decade after the financial crash? https://t.co/byg2tZ2KYh https://t.co/Pq5lrktIBY,Sat Sep 15 14:19:50 +0000 2018,-0.4019,0.0,0.828,0.172,27
@CBSNews,Final Delta 2 rocket launches $1 billion ice probe https://t.co/Kywo0Cji1H https://t.co/dXakRQpKuC,Sat Sep 15 14:00:01 +0000 2018,0.0,0.0,1.0,0.0,28
@CBSNews,"While giving updates on Hurricane Florence, FEMA officials won't say if agency chief Brock Long will remain on the… https://t.co/Kk1tp5v3Jq",Sat Sep 15 13:51:10 +0000 2018,0.34,0.112,0.888,0.0,29
@CBSNews,"President Trump issues disaster declaration for North Carolina, making federal money available to counties hit by H… https://t.co/WYMSU8R3mf",Sat Sep 15 13:39:40 +0000 2018,-0.6249,0.0,0.806,0.194,30
@CBSNews,North &amp; South Carolina hit by Florence https://t.co/oEx1OdeW7M https://t.co/Nahs27Mq89,Sat Sep 15 13:03:04 +0000 2018,0.0,0.0,1.0,0.0,31
@CBSNews,Nike stock price reaches all-time high after Colin Kaepernick ad https://t.co/QfXyrBfTIn https://t.co/nMJYqHA4jp,Sat Sep 15 12:48:03 +0000 2018,0.0516,0.098,0.902,0.0,32
@CBSNews,VW to stop making the iconic Beetle in 2019 https://t.co/BrUFsOZLGk https://t.co/6VRteDbbPn,Sat Sep 15 12:33:03 +0000 2018,-0.296,0.0,0.82,0.18,33
@CBSNews,Video shows Dallas Officer Amber Guyger getting booked after killing neighbor https://t.co/4YBhhBOgmE https://t.co/B7S9bRd3B6,Sat Sep 15 12:18:04 +0000 2018,-0.6597,0.0,0.732,0.268,34
@CBSNews,Utah wildfire fanned by high winds more than doubles in size and forces evacuations https://t.co/VrRSOe3mQE https://t.co/DSMMWe03aK,Sat Sep 15 12:03:03 +0000 2018,0.0,0.0,1.0,0.0,35
@CBSNews,Hurricane Florence relief: Budweiser cans water instead of beer https://t.co/9QCNJer6Dr https://t.co/ku5QuJWxhu,Sat Sep 15 11:48:03 +0000 2018,0.4767,0.237,0.763,0.0,36
